exposure_type,name,mean_exposure,abs_mean_exposure
style,低波,-1.3307954369226533,1.3307954369226533
style,动量,0.8635369532488215,0.8635369532488215
style,估值,-0.3315493839655866,0.3315493839655866
style,规模,0.11328037773705069,0.189835588308261
style,流动性,-0.04691637583507306,0.12426132669414718
style,质量,-0.0007916361422315744,0.0032332865254745143
industry,机械基件,0.031100495877594652,0.033454333020997644
industry,电气设备,0.009124065746829734,0.033134650150942316
industry,专用机械,0.017621373300601487,0.03191074223335496
industry,软件服务,0.006548420552299553,0.02705043469240909
industry,元器件,-0.006993532448858238,0.026823518276441676
industry,汽车配件,-0.008995663133246954,0.023638318575945443
industry,半导体,-0.0016806663070236083,0.023473689000771108
industry,化工原料,-0.007448988863996354,0.022695219995990414
industry,医疗保健,-0.004952316807795411,0.02247195960598908
industry,通信设备,0.004472350721691851,0.01935748170293967
