model_id,model_type,target,target_label,score_col,top_n,neutralization,validation_window_count,validation_objective_mean,validation_objective_std,validation_excess_annualized_return,validation_max_drawdown,validation_avg_turnover,train_objective,train_annualized_return,train_benchmark_annualized_return,train_excess_annualized_return,train_sharpe,train_max_drawdown,train_avg_turnover
barra_ensemble_next_20d_return_top50,Barra风格行业中性-多因子IC加权,next_20d_return,未来20日收益,barra_ensemble_next_20d_return,50,industry+style,3,2.544170174750898,4.144211144017039,0.8593298948730713,-0.14323898751275532,0.24555555555555555,0.14586637922208734,0.171873456126852,0.00835119381247118,0.16819173121035824,0.5843456948332807,-0.2748704974619297,0.277965367965368
barra_ensemble_next_5d_return_top50,Barra风格行业中性-多因子IC加权,next_5d_return,未来5日收益,barra_ensemble_next_5d_return,50,industry+style,3,2.167552179936746,3.628907573366896,0.7067016469698263,-0.14529118152038734,0.2816666666666667,0.08825128478982724,0.14700186087378286,0.00835119381247118,0.14437087283265604,0.4712706130995,-0.32948941110161434,0.3122943722943723
barra_ensemble_next_5d_return_top100,Barra风格行业中性-多因子IC加权,next_5d_return,未来5日收益,barra_ensemble_next_5d_return,100,industry+style,3,2.1531697180458456,3.47952926135189,0.7252604409046924,-0.134285980883227,0.24577777777777773,0.11091292194322715,0.15424445196243486,0.00835119381247118,0.15121490009047744,0.5168799901141039,-0.2993618354345965,0.2832467532467533
barra_ensemble_next_20d_return_top100,Barra风格行业中性-多因子IC加权,next_20d_return,未来20日收益,barra_ensemble_next_20d_return,100,industry+style,3,2.0535296270160615,3.256267023897001,0.6921157789293577,-0.12725153161216018,0.2113333333333333,0.2379251901473095,0.22866309359625214,0.00835119381247118,0.2248123349519806,0.8013430816237207,-0.2592799057966545,0.2479220779220779
barra_ridge_next_20d_return_top100,Barra风格行业中性-Ridge横截面,next_20d_return,未来20日收益,barra_ridge_next_20d_return,100,industry+style,3,2.0338465046744147,3.5956914488617366,0.6243919250333531,-0.14410963927491624,0.247,0.19505069366433742,0.2062918816498247,0.00835119381247118,0.20239169095146248,0.6681576273055378,-0.2847675291223436,0.25536796536796535
barra_ridge_next_5d_return_top200,Barra风格行业中性-Ridge横截面,next_5d_return,未来5日收益,barra_ridge_next_5d_return,200,industry+style,3,1.9416554966888444,3.521050005517005,0.5747117122041496,-0.14682064536914727,0.28391666666666665,0.23333167194448945,0.2316637029228077,0.00835119381247118,0.22671776824976453,0.7701488058890118,-0.27935808767890313,0.2783116883116883
barra_ridge_next_20d_return_top50,Barra风格行业中性-Ridge横截面,next_20d_return,未来20日收益,barra_ridge_next_20d_return,50,industry+style,3,1.9201707781679669,3.514342735540739,0.5694905730944206,-0.14805007406252135,0.27822222222222226,0.11579093251582287,0.15680424653955938,0.00835119381247118,0.15155268340743278,0.49541410579197903,-0.29391354945011283,0.2783982683982684
barra_ensemble_next_20d_return_top200,Barra风格行业中性-多因子IC加权,next_20d_return,未来20日收益,barra_ensemble_next_20d_return,200,industry+style,3,1.9170542681589502,3.1506533053863586,0.6246746487074076,-0.1269916923356865,0.1899722222222222,0.2466896809503259,0.23404649685058776,0.00835119381247118,0.22909214992130678,0.8437517049926462,-0.25900052923774175,0.22505411255411253
barra_ridge_next_20d_return_top200,Barra风格行业中性-Ridge横截面,next_20d_return,未来20日收益,barra_ridge_next_20d_return,200,industry+style,3,1.8584121331258243,3.260564620836741,0.5667841972642872,-0.1407812438077648,0.22505555555555556,0.16102687166608434,0.18540775366879303,0.00835119381247118,0.18181110249567345,0.6173988692402871,-0.2960023633998268,0.2337121212121212
barra_ridge_next_5d_return_top300,Barra风格行业中性-Ridge横截面,next_5d_return,未来5日收益,barra_ridge_next_5d_return,300,industry+style,3,1.8099297118953241,3.2615525047026543,0.5353795863886385,-0.1448158916610024,0.2721481481481482,0.23019458821078206,0.230715474521618,0.00835119381247118,0.22522671441728082,0.7825458704036946,-0.2853938600659538,0.26492784992784996
