trade_date,strategy_return,gross_return,benchmark_return,turnover,holding_count,strategy_nav,benchmark_nav,excess_return,excess_nav
20250102,-0.04112366756796837,-0.04012366756796837,-0.011839194018461785,1.0,50,0.9588763324320316,0.9881608059815382,-0.029284473549506584,0.9707155264504934
20250103,-0.004060819251611829,-0.003720819251611829,-0.0016410144531968651,0.33999999999999997,50,0.9549825089613767,0.9865392198168399,-0.0024198047984149637,0.9683665843616927
20250106,0.02471237206161022,0.025012372061610222,0.0071997925586930744,0.30000000000000004,50,0.9785823920351603,0.993642097550536,0.017512579502917146,0.9853251811582951
20250107,0.008083093554079532,0.008403093554079533,-0.0018150707349940953,0.31999999999999995,50,0.9864923650603553,0.9918385668582139,0.009898164289073627,0.9950780916795612
20250108,0.00699451996549964,0.0072545199654996395,-0.0024643624763153182,0.26,50,0.993392405603583,0.9893943171114862,0.009458882441814958,1.0044904183691836
20250109,-0.02646471160531044,-0.02618471160531044,-0.012539216550759513,0.28,50,0.9671025620783786,0.9769880875151344,-0.013925495054550926,0.9905023920158398
20250110,0.005169646922796965,0.005489646922796965,-0.0026705028286013732,0.31999999999999995,50,0.972102140862456,0.9743790380639155,0.007840149751398337,0.9982680790983621
20250113,0.04718119522213936,0.04750119522213936,0.026333420460855406,0.31999999999999995,50,1.017967081746347,1.0000377709614965,0.020847774761283952,1.0190797471627844
20250114,-0.0028016525760293006,-0.0025016525760293007,-0.006416240428871345,0.30000000000000004,50,1.0151150916494593,0.9936212881850549,0.003614587852842044,1.0227633004379562
20250115,0.0089495914208889,0.0092695914208889,0.001147937342895089,0.31999999999999995,50,1.0241999569649,0.9947619031664581,0.007801654077993811,1.0307425459116402
20250116,-0.00032792670703551263,1.2073292964487337e-05,0.003146866542629967,0.33999999999999997,50,1.0238640944456667,0.9978922861174155,-0.0034747932496654796,1.0271609286709633
20250117,0.01775142408132553,0.01793142408132553,0.004546679156274047,0.18000000000000005,50,1.042039140187814,1.0024293821749122,0.013204744925051484,1.0407243267310422
20250120,-0.0018835928139090538,-0.0015635928139090538,0.0007671927581140991,0.31999999999999995,50,1.0400763627515441,1.0031984387374375,-0.002650785572023153,1.03796558970129
20250121,-0.009533878773152829,-0.009213878773152828,-0.009288150425773356,0.31999999999999995,50,1.0301604007942493,0.9938805807315433,-0.000245728347379473,1.037710532132296
20250122,-0.0037740176051855086,-0.0034740176051855087,0.0017717331022466531,0.30000000000000004,50,1.026272557305487,0.9956414718561055,-0.005545750707432162,1.0319556482146135
20250123,0.008915128608047962,0.009215128608047962,0.007655562720718434,0.30000000000000004,50,1.0354219091407757,1.0032636675912483,0.0012595658873295282,1.0332554643463416
