trade_date,strategy_return,gross_return,benchmark_return,turnover,holding_count,strategy_nav,benchmark_nav,excess_return,excess_nav
20250102,-0.01885656620994855,-0.01785656620994855,-0.011839194018461785,1.0,50,0.9811434337900514,0.9881608059815382,-0.007017372191486765,0.9929826278085132
20250103,-0.0001749120227544473,0.00020508797724555272,-0.0016410144531968651,0.38,50,0.980971820007435,0.9865392198168399,0.0014661024304424178,0.9944384420525303
20250106,0.03633199404576335,0.036591994045763354,0.0071997925586930744,0.26,50,1.0166124823310068,0.993642097550536,0.029132201487070276,1.023408623112893
20250107,-0.006402447026607112,-0.006182447026607112,-0.0018150707349940953,0.21999999999999997,50,1.010103674766295,0.9918385668582139,-0.0045873762916130165,1.0187138626585925
20250108,0.005351875533348003,0.005531875533348003,-0.0024643624763153182,0.18000000000000005,50,1.0155096239094217,0.9893943171114862,0.007816238009663322,1.0266763726728756
20250109,-0.03329297702362945,-0.033152977023629446,-0.012539216550759513,0.14,50,0.9817002853333308,0.9769880875151344,-0.020753760472869934,1.0053689771512677
20250110,0.008553194037547618,0.008773194037547618,-0.0026705028286013732,0.21999999999999997,50,0.9900969583605026,0.9743790380639155,0.011223696866148991,1.0166529337894439
20250113,0.05905953403460601,0.05931953403460601,0.026333420460855406,0.26,50,1.0485716233703546,1.0000377709614965,0.032726113573750604,1.049924033165724
20250114,0.006222394267354558,0.006382394267354558,-0.006416240428871345,0.16000000000000003,50,1.055096249428525,0.9936212881850549,0.012638634696225903,1.063193639479694
20250115,0.00664463723618421,0.00686463723618421,0.001147937342895089,0.21999999999999997,50,1.062106981255236,0.9947619031664581,0.005496699893289121,1.0690376958443675
20250116,-0.0004327872637981466,-0.0003327872637981466,0.003146866542629967,0.09999999999999998,50,1.0616473148809575,0.9978922861174155,-0.0035796538064281134,1.065210910987223
20250117,0.01367723838295949,0.01387723838295949,0.004546679156274047,0.19999999999999996,50,1.0761677182852134,1.0024293821749122,0.009130559226685443,1.0749368822989034
20250120,-0.009860236248290065,-0.009600236248290065,0.0007671927581140991,0.26,50,1.065556450340138,1.0031984387374375,-0.010627429006404164,1.0635130668959063
20250121,-0.012304854170084072,-0.012064854170084072,-0.009288150425773356,0.24,50,1.0524449336087103,0.9938805807315433,-0.0030167037443107163,1.060304763044878
20250122,-0.0006017911545116304,-0.0004417911545116304,0.0017717331022466531,0.16000000000000003,50,1.051811581557054,0.9956414718561055,-0.0023735242567582836,1.0577881039702348
20250123,0.009025119503908009,0.00922511950390801,0.007655562720718434,0.19999999999999996,50,1.0613043067762007,1.0032636675912483,0.001369556783189575,1.0592368048432044
