model_id,model_type,target,target_label,score_col,top_n,train_objective,train_annualized_return,train_excess_annualized_return,train_sharpe,train_max_drawdown,train_avg_turnover,oos_annualized_return,oos_benchmark_annualized_return,oos_excess_annualized_return,oos_sharpe,oos_max_drawdown,oos_avg_turnover
ridge_ml_next_20d_return_top50,Ridge横截面机器学习,next_20d_return,未来20日收益,ridge_ml_next_20d_return,50,1.3210462770867522,0.9756647699592338,0.9522135082821432,2.50249328376839,-0.3526287205953096,0.1461038961038961,0.5630166407079549,0.1976447674694688,0.30748422252928376,2.1929042955632463,-0.17686689271233647,0.19536144578313258
ridge_ml_next_20d_return_top100,Ridge横截面机器学习,next_20d_return,未来20日收益,ridge_ml_next_20d_return,100,1.172154544020555,0.875761174982697,0.85665808681061,2.3544016136144283,-0.35951318217538963,0.12212121212121213,0.5602440356127607,0.1976447674694688,0.30455654903893326,2.2690504459908967,-0.16416591161257543,0.17825301204819277
ridge_ml_next_5d_return_top100,Ridge横截面机器学习,next_5d_return,未来5日收益,ridge_ml_next_5d_return,100,0.7781814695706707,0.6119514813664424,0.5917640812942815,1.8420444948785866,-0.3395995561448705,0.21584415584415584,0.5692173353993044,0.1976447674694688,0.31491151347527424,2.2064980737092728,-0.16287452822124038,0.2568072289156626
ridge_ml_next_5d_return_top50,Ridge横截面机器学习,next_5d_return,未来5日收益,ridge_ml_next_5d_return,50,0.7484752100508704,0.5919737051188576,0.5687383079396262,1.7616160791071775,-0.3295847486423239,0.2502597402597403,0.5218677793379078,0.1976447674694688,0.2765879351711853,1.9207556205834657,-0.17995500419298838,0.2933132530120482
ridge_ml_next_20d_return_top200,Ridge横截面机器学习,next_20d_return,未来20日收益,ridge_ml_next_20d_return,200,0.7326965526019096,0.5888629128386995,0.574577658204217,1.7184667551587227,-0.3912325137573971,0.13047619047619047,0.5594378001078,0.1976447674694688,0.3039197670424556,2.3601885935089206,-0.1487113481699398,0.1575753012048193
ridge_ml_next_5d_return_top200,Ridge横截面机器学习,next_5d_return,未来5日收益,ridge_ml_next_5d_return,200,0.6136487332353587,0.5060866462646789,0.4902613677262335,1.564171001294775,-0.3625444759697334,0.21356060606060603,0.5640049839009535,0.1976447674694688,0.3104983355191744,2.2497598622768433,-0.16627655405366892,0.2300602409638554
ridge_ml_next_20d_return_top300,Ridge横截面机器学习,next_20d_return,未来20日收益,ridge_ml_next_20d_return,300,0.584297413854685,0.48976394398941947,0.4776224182602171,1.4820159411411393,-0.392217989324,0.14002886002886003,0.5433584224628016,0.1976447674694688,0.290080377416019,2.3423169804270896,-0.1467138876833659,0.1453714859437751
ridge_ml_next_5d_return_top300,Ridge横截面机器学习,next_5d_return,未来5日收益,ridge_ml_next_5d_return,300,0.5037511041452414,0.4343841801299535,0.42101066991090397,1.3530432025441927,-0.37290112876328063,0.21246031746031746,0.5465719835341121,0.1976447674694688,0.2954508578713375,2.228081384620378,-0.16549952351920683,0.21291164658634537
technical_ensemble_next_20d_return_top300,技术因子IC加权,next_20d_return,未来20日收益,technical_ensemble_next_20d_return,300,0.08841933956758007,0.1098958597209192,0.09216603636406417,0.6617234366342567,-0.17610290689100083,0.11847041847041848,0.09542462702116628,0.1976447674694688,-0.09370193023063633,0.7272879800263323,-0.08269597057477829,0.08609437751004016
technical_ensemble_next_20d_return_top200,技术因子IC加权,next_20d_return,未来20日收益,technical_ensemble_next_20d_return,200,0.0856659809391977,0.10592171469781131,0.08708601601816279,0.6652318308514376,-0.16335045576175078,0.132521645021645,0.09237238071513576,0.1976447674694688,-0.09702615250066737,0.7366497343789865,-0.08445791545830084,0.09932228915662648
technical_ensemble_next_20d_return_top100,技术因子IC加权,next_20d_return,未来20日收益,technical_ensemble_next_20d_return,100,0.04575382358102685,0.07823761243104466,0.05801093123361789,0.5179332461139285,-0.1533551982911191,0.1562987012987013,0.051656983794703404,0.1976447674694688,-0.1314029624978139,0.42568001236242303,-0.0992063019848839,0.12448795180722891
technical_ensemble_next_5d_return_top300,技术因子IC加权,next_5d_return,未来5日收益,technical_ensemble_next_5d_return,300,-0.01174186745242309,0.058855960079844394,0.04298473720035356,0.331375279773496,-0.24045147771504383,0.15864357864357861,0.10052534689679149,0.1976447674694688,-0.08881832243655052,0.7390418309510011,-0.08852544781706617,0.11386546184738956
technical_ensemble_next_5d_return_top200,技术因子IC加权,next_5d_return,未来5日收益,technical_ensemble_next_5d_return,200,-0.032102461261192115,0.04462992618159123,0.028056152456311656,0.25903466010978404,-0.23408369954220098,0.17662337662337665,0.08236505981768216,0.1976447674694688,-0.10452103679287994,0.628616022298231,-0.09124328289187011,0.12914156626506024
technical_ensemble_next_20d_return_top50,技术因子IC加权,next_20d_return,未来20日收益,technical_ensemble_next_20d_return,50,-0.0419643273299584,0.029104112560339956,0.00873544144912275,0.1955086488767102,-0.18715217194845513,0.19865800865800873,0.02002402337069875,0.1976447674694688,-0.15795139002387604,0.16559726557438156,-0.1187702389360803,0.16813253012048196
technical_ensemble_next_5d_return_top100,技术因子IC加权,next_5d_return,未来5日收益,technical_ensemble_next_5d_return,100,-0.08697620033385367,0.011830341498804797,-0.005712279891485372,0.07184849165172238,-0.24388117298549838,0.21183982683982686,0.03899575601939853,0.1976447674694688,-0.14099242297706926,0.3042506175229526,-0.11616283224717328,0.1649397590361446
