factor_group,factor_count,train_mean_ic,train_positive_ratio,oos_mean_ic,oos_positive_ratio
波动与防御,3,0.07045983797586902,0.6398092688641744,0.0470793961565445,0.616869918699187
规模与风险补偿,1,0.04877383236898396,0.6341991341991342,0.03796579529516502,0.6158536585365854
估值与质量,5,0.026329157157132688,0.5874458874458874,0.006793939027042906,0.5170731707317074
现金流与成长,3,-9.559111360343971e-05,0.5043290043290044,0.0017125869880014715,0.5274390243902439
资本结构,1,0.0031005410606178845,0.5844155844155844,0.000867721742659612,0.5640243902439024
反转与趋势,7,-0.00970523507976992,0.48272640148384754,-0.006926208174948726,0.48083623693379796
流动性与拥挤,4,-0.01998153999499068,0.42328918322295805,-0.02214825558394378,0.3795731707317073
价格位置,8,-0.045973527991145686,0.3860653546118422,-0.044181724537240674,0.3647103658536585
相对强弱,2,-0.05563373620545529,0.3636005492897504,-0.059359955686028545,0.34908536585365857
