trade_date,strategy_return,gross_return,benchmark_return,turnover,holding_count,strategy_nav,benchmark_nav,excess_return,excess_nav
20250102,-0.014781542657841013,-0.013781542657841013,-0.011839194018461785,1.0,50,0.985218457342159,0.9881608059815382,-0.0029423486393792275,0.9970576513606207
20250103,0.005398309042586457,0.005478309042586458,-0.0016410144531968651,0.07999999999999996,50,0.9905369710493522,0.9865392198168399,0.0070393234957833225,1.0040762627124942
20250106,0.002207797795437658,0.002247797795437658,0.0071997925586930744,0.040000000000000036,50,0.9927238763903344,0.993642097550536,-0.004991994763255417,0.9990639192671243
20250107,-0.0037643650620498084,-0.0037243650620498083,-0.0018150707349940953,0.040000000000000036,50,0.988986901313788,0.9918385668582139,-0.001949294327055713,0.9971164496369309
20250108,-0.010628165399188025,-0.010548165399188025,-0.0024643624763153182,0.07999999999999996,50,0.9784757849489947,0.9893943171114862,-0.008163802922872707,0.9889761874509405
20250109,-0.01689030610195906,-0.01679030610195906,-0.012539216550759513,0.09999999999999998,50,0.9619490294278514,0.9769880875151344,-0.004351089551199547,0.9846730634953376
20250110,0.0010146055003471166,0.0010546055003471167,-0.0026705028286013732,0.040000000000000036,50,0.9629250282041625,0.9743790380639155,0.00368510832894849,0.9883016904029154
20250113,0.021177803154862295,0.021297803154862294,0.026333420460855406,0.12,50,0.9833176649043606,1.0000377709614965,-0.0051556173059931105,0.9832063851043319
20250114,0.0021822747221682845,0.0022422747221682846,-0.006416240428871345,0.06000000000000005,50,0.9854635341883429,0.9936212881850549,0.00859851515103963,0.9916605001032505
20250115,0.011550218754081425,0.011590218754081425,0.001147937342895089,0.040000000000000036,50,0.9968458535823884,0.9947619031664581,0.010402281411186336,1.0019760316896822
20250116,-0.0012349917175362955,-0.0011549917175362955,0.003146866542629967,0.07999999999999996,50,0.9956147572095538,0.9978922861174155,-0.004381858260166262,0.9975855147387341
20250117,0.005528866429552637,0.005628866429552637,0.004546679156274047,0.09999999999999998,50,1.0011193782174568,1.0024293821749122,0.0009821872732785897,0.9985653305353177
20250120,-0.004462568607050339,-0.0043225686070503385,0.0007671927581140991,0.14,50,0.9966518143083138,1.0031984387374375,-0.005229761365164438,0.9933430721490915
