trade_date,close,pct_chg,amount,adv_ratio,market_amount,ma20,ma60,return_20,volatility_20,amount_z20,next_5d_return,regime,ai_timing_read
20230103,3887.8992,0.4201,207540165.953,0.8441327538522323,789094418.0199994,,,,,0.0,0.03332763874125133,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230104,3892.9477,0.1299,198997711.686,0.5716824644549763,783944302.3489984,,,,,0.0,0.03007571871566639,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230105,3968.5782,1.9428,256312608.292,0.5953791469194313,842939777.6349988,,,,,0.0,0.01242031718059633,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230106,3980.8888,0.3102,235744305.582,0.370260663507109,838258756.2819996,,,,,0.0,0.02348430330432727,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230109,4013.1196,0.8096,233212426.458,0.5866429559375618,807320911.9559982,,,,,0.0,0.031109140131283297,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230110,4017.4737,0.1085,214871166.24,0.35281342546890426,747310051.0129994,,,,,0.0,0.029811893977053305,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230111,4010.0309,-0.1853,203000262.961,0.20489538097118043,741920337.5439991,,,,,0.0,0.029995629210737507,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230112,4017.8692,0.1955,183686268.107,0.446266297905966,681494142.5970018,,,,,0.0,0.034381034604113125,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230113,4074.3772,1.4064,212173997.498,0.5751530713015999,702444502.7160002,,,,,0.0,0.02629837512344224,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230116,4137.9643,1.5607,319007749.371,0.7665876777251185,917243704.3019993,,,,,0.0,0.015316879365054215,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230117,4137.2422,-0.0175,204381576.523,0.38779138680363495,707291184.365001,,,,,0.0,0.00474122593064541,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230118,4130.3143,-0.1675,172126171.819,0.606042654028436,636081320.3139998,,,,,0.0,0.01588714447227435,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230119,4156.0077,0.6221,192699589.774,0.6724580454096742,687200318.4259987,,,,,0.0,0.006049459436757054,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230120,4181.5267,0.614,222342455.101,0.753257007500987,749346698.9489983,,,,,0.0,-0.009540725878899647,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230130,4201.345,0.4739,330193322.092,0.7548361626529807,1062543856.4450011,,,,,0.0,-0.027245346430726403,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230131,4156.8578,-1.0589,249365321.627,0.5883514313919053,902273816.8589998,,,,,0.0,-0.01506529763900033,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230201,4195.9332,0.94,265553944.709,0.8606670613775409,1006530768.0449972,,,,,0.0,-0.02854957271483749,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230202,4181.1493,-0.3523,262497434.837,0.45671465194241767,1025667919.7319987,,,,,0.0,-0.012028463083105012,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230203,4141.6319,-0.9451,226914770.044,0.3752959747434886,915561909.4059967,,,,,0.0,-0.008528570585908501,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230206,4086.8779,-1.322,226345113.969,0.36252465483234714,875450258.2570031,4078.5017399999997,,,,-0.8480440132435205,0.013872716872701307,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230207,4094.2335,0.18,183537351.577,0.666403785488959,846308554.4040006,4088.8184549999996,,0.05307089751709615,0.008424530270315886,-0.8435740243881816,0.012470392809789788,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230208,4076.1411,-0.4419,170591751.817,0.27287066246056785,805455058.0309976,4097.978125,,0.04705776037011744,0.008567615343793071,-0.8418934460513331,0.011665003451426292,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230209,4130.8565,1.3423,211722604.859,0.8303782505910166,901863984.8429956,4106.09204,,0.0408907905607101,0.008025252191638901,-0.8372898538942893,-0.00904628374285088,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230210,4106.3097,-0.5942,195348320.573,0.4317510340752413,893771624.8400029,4112.363085,,0.03150575318757953,0.008214630774562139,-0.8329527805857504,-0.017485943644240942,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230213,4143.574,0.9075,251990181.554,0.6912170145726664,982610464.790002,4118.885805,,0.032506980355133,0.008258255982643452,-0.8192578723489738,-0.002433744395538673,修复反弹,宽度改善但趋势仍需确认，适合结合反转与低估值修复
20230214,4145.2902,0.0414,204915435.75,0.44407246947617174,922774182.5489978,4125.27663,,0.031815142934227714,0.008261960619519632,-0.8055493247408528,-0.00022594316798374425,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230215,4123.6893,-0.5211,219855528.966,0.4268556802520181,942674831.0040036,4130.9595500000005,,0.028343522240688923,0.008369247057665353,-0.7898649081763421,-0.004059156445176404,中性震荡,趋势信号不充分，适合等待宽度或量能确认
20230216,4093.4876,-0.7324,281315625.589,0.0999213217938631,1197468656.3679976,4134.74047,,0.0188205230772569,0.008592910508611214,-0.7495531867738651,0.0024816735734096707,中性震荡,趋势信号不充分，适合等待宽度或量能确认
